Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
1890000,915,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1750000,980,Mohali Sector 127,0,1,0,0,1.0,,1,1,0,1.0,1,1.0,0,1,0
1850000,915,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1450000,510,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1490000,510,SEC 115 MOHALI KHARAR LANDRAN ROAD,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1690000,510,Mohali Sec 125,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,1
1590000,510,SEC 115 MOHALI KHARAR LANDRAN ROAD,0,1,1,0,1.0,1.0,1,1,0,1.0,1,1.0,0,0,0
1490000,555,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1490000,510,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,,1,,0,1,0
1890000,900,Mohali Sector 127,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
1790000,910,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,,1,,0,0,0
1970000,1050,Mohali Sector 127,0,1,0,0,,,0,0,0,,0,,0,0,0
1790000,952,Mohali Sector 127,0,1,1,0,1.0,,0,1,0,1.0,1,1.0,0,1,0
1880000,600,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1480520,510,Mohali Sector 127,0,1,1,0,1.0,,0,1,0,,1,,0,0,0
1480000,510,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1690000,555,Mohali Sec 125,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1590000,510,SEC 115 MOHALI KHARAR LANDRAN ROAD,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1980000,1100,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1990000,1050,Mohali Sector 127,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
1990000,910,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1790000,915,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1490000,550,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1490000,600,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1490000,623,SEC 115 MOHALI KHARAR LANDRAN ROAD,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1990000,910,Mohali Sec 125,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
1990000,910,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,1.0,0,1,0
1790000,915,Mohali Sec 125,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
3090000,910,Mohali Sec 125,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
1890000,610,Mohali Sec 125,0,1,1,0,1.0,,1,1,0,,1,,0,0,0
1490000,599,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,,1,,0,1,0
1690000,550,Mohali Sector 127,0,1,0,0,1.0,,1,1,0,,1,,0,1,0
1555000,588,Mohali Sec 125,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1990000,915,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1890000,951,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1890000,915,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1750000,980,Mohali Sector 127,0,1,0,0,1.0,,1,1,0,1.0,1,1.0,0,1,0
1850000,915,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1450000,510,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1490000,510,SEC 115 MOHALI KHARAR LANDRAN ROAD,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1690000,510,Mohali Sec 125,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,1
1590000,510,SEC 115 MOHALI KHARAR LANDRAN ROAD,0,1,1,0,1.0,1.0,1,1,0,1.0,1,1.0,0,0,0
1490000,555,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1490000,510,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,,1,,0,1,0
1890000,900,Mohali Sector 127,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
